Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt7019842,2021-05-11,2021-05-11,it has power to make you cry ,96,https://www.imdb.com/title/tt7019842/,movie,8.6,158,2018,"Drama, Romance",20854,2018-10-03,C. Prem Kumar,10,2021-05-11
2,tt1187064,2021-05-11,2021-05-11,,Triangle,https://www.imdb.com/title/tt1187064/,movie,6.9,99,2009,"Fantasy, Mystery, Sci-Fi, Thriller",105297,2009-08-27,Christopher Smith,,
3,tt1130884,2021-05-11,2021-05-11,,Shutter Island,https://www.imdb.com/title/tt1130884/,movie,8.2,138,2010,"Mystery, Thriller",1156783,2010-02-13,Martin Scorsese,,
4,tt1392190,2021-05-11,2021-05-11,,Mad Max: Fury Road,https://www.imdb.com/title/tt1392190/,movie,8.1,120,2015,"Action, Adventure, Sci-Fi, Thriller",900078,2015-05-07,George Miller,,
5,tt0983946,2021-05-11,2021-05-11,,Fantasy Island,https://www.imdb.com/title/tt0983946/,movie,4.9,109,2020,"Action, Adventure, Fantasy, Horror, Mystery, Thriller",39633,2020-02-12,Jeff Wadlow,,
6,tt1446714,2021-05-11,2021-05-11,,Prometheus,https://www.imdb.com/title/tt1446714/,movie,7.0,124,2012,"Adventure, Mystery, Sci-Fi",574140,2012-04-11,Ridley Scott,,
7,tt2316204,2021-05-11,2021-05-11,,Alien: Covenant,https://www.imdb.com/title/tt2316204/,movie,6.4,122,2017,"Horror, Sci-Fi, Thriller",258689,2017-05-04,Ridley Scott,,
8,tt0816692,2021-05-11,2021-05-11,,Interstellar,https://www.imdb.com/title/tt0816692/,movie,8.6,169,2014,"Adventure, Drama, Sci-Fi",1553395,2014-10-26,Christopher Nolan,,
9,tt2543164,2021-05-11,2021-05-11,,Arrival,https://www.imdb.com/title/tt2543164/,movie,7.9,116,2016,"Drama, Sci-Fi",609741,2016-09-01,Denis Villeneuve,,
10,tt3659388,2021-05-11,2021-05-11,,The Martian,https://www.imdb.com/title/tt3659388/,movie,8.0,144,2015,"Adventure, Drama, Sci-Fi",774149,2015-09-11,Ridley Scott,,
11,tt1386697,2021-05-11,2021-05-11,,Suicide Squad,https://www.imdb.com/title/tt1386697/,movie,5.9,123,2016,"Action, Adventure, Fantasy, Sci-Fi",618213,2016-08-01,David Ayer,,
12,tt7713068,2021-05-11,2021-05-11,,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,https://www.imdb.com/title/tt7713068/,movie,6.1,109,2020,"Action, Adventure, Comedy, Crime",182413,2020-01-25,Cathy Yan,,
13,tt1922777,2021-05-11,2021-05-11,,Sinister,https://www.imdb.com/title/tt1922777/,movie,6.8,110,2012,"Horror, Mystery, Thriller",225470,2012-03-11,Scott Derrickson,,
14,tt2229499,2021-05-11,2021-05-11,,Don Jon,https://www.imdb.com/title/tt2229499/,movie,6.5,90,2013,"Comedy, Drama, Romance",230998,2013-01-18,Joseph Gordon-Levitt,,
15,tt6473300,2021-05-11,2021-05-11,,Mirzapur,https://www.imdb.com/title/tt6473300/,tvSeries,8.4,60,2018,"Action, Crime, Drama, Thriller",53433,2018-11-15,,,
16,tt6077448,2021-05-11,2021-05-11,,Sacred Games,https://www.imdb.com/title/tt6077448/,tvSeries,8.6,50,2018,"Action, Crime, Drama, Thriller",77112,2018-06-28,,,
17,tt1954470,2021-05-11,2021-05-11,,Gangs of Wasseypur,https://www.imdb.com/title/tt1954470/,movie,8.2,321,2012,"Action, Comedy, Crime, Drama, Thriller",84585,2012-05-22,Anurag Kashyap,,
18,tt10443846,2021-05-11,2021-05-11,,Yeh Saali Aashiqui,https://www.imdb.com/title/tt10443846/,movie,7.9,137,2019,"Drama, Romance, Thriller",3102,2019-11-29,Cherag Ruparel,,
19,tt5308322,2021-05-11,2021-05-11,,Happy Death Day,https://www.imdb.com/title/tt5308322/,movie,6.6,96,2017,"Comedy, Horror, Mystery, Thriller",120327,2017-10-07,Christopher Landon,,
20,tt8155288,2021-05-11,2021-05-11,,Happy Death Day 2U,https://www.imdb.com/title/tt8155288/,movie,6.2,100,2019,"Comedy, Horror, Mystery, Sci-Fi, Thriller",61556,2019-02-13,Christopher Landon,,
21,tt4731136,2021-05-11,2021-05-11,,A Cure for Wellness,https://www.imdb.com/title/tt4731136/,movie,6.4,146,2016,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",89105,2016-12-10,Gore Verbinski,,
22,tt4559006,2021-05-11,2021-05-11,,Ae Dil Hai Mushkil,https://www.imdb.com/title/tt4559006/,movie,5.8,158,2016,"Drama, Music, Musical, Romance",21414,2016-10-27,Karan Johar,,
23,tt8983202,2021-05-11,2021-05-11,,Kabir Singh,https://www.imdb.com/title/tt8983202/,movie,7.1,173,2019,"Action, Drama, Romance",27031,2019-06-20,Sandeep Reddy Vanga,,
24,tt2872732,2021-05-11,2021-05-11,,Lucy,https://www.imdb.com/title/tt2872732/,movie,6.4,89,2014,"Action, Sci-Fi, Thriller",454457,2014-07-25,Luc Besson,,
25,tt0396171,2021-05-11,2021-05-11,,Perfume: The Story of a Murderer,https://www.imdb.com/title/tt0396171/,movie,7.5,147,2006,"Crime, Drama, Fantasy",237095,2006-09-07,Tom Tykwer,,
26,tt1645170,2021-05-11,2021-05-11,,The Dictator,https://www.imdb.com/title/tt1645170/,movie,6.4,83,2012,Comedy,283026,2012-05-16,Larry Charles,,
27,tt1542344,2021-05-11,2021-05-11,,127 Hours,https://www.imdb.com/title/tt1542344/,movie,7.5,94,2010,"Biography, Drama",352561,2010-09-04,Danny Boyle,,
28,tt13143964,2021-05-11,2021-05-11,,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,https://www.imdb.com/title/tt13143964/,movie,6.7,95,2020,Comedy,121887,2020-10-23,Jason Woliner,,
29,tt2404233,2021-05-11,2021-05-11,,Gods of Egypt,https://www.imdb.com/title/tt2404233/,movie,5.4,127,2016,"Action, Adventure, Fantasy",108361,2016-02-24,Alex Proyas,,
30,tt10620868,2021-05-11,2021-05-11,,#Saraitda,https://www.imdb.com/title/tt10620868/,movie,6.2,98,2020,"Action, Drama, Horror, Thriller",28024,2020-06-24,Il Cho,,
31,tt0110366,2021-05-11,2021-05-11,,The Little Rascals,https://www.imdb.com/title/tt0110366/,movie,6.3,82,1994,"Comedy, Family, Romance",44285,1994-08-05,Penelope Spheeris,,
32,tt3175038,2021-05-11,2021-05-11,,Ek Villain,https://www.imdb.com/title/tt3175038/,movie,6.5,129,2014,"Action, Crime, Drama, Thriller",16909,2014-06-27,Mohit Suri,,
33,tt9248934,2021-05-11,2021-05-11,,Marjaavaan,https://www.imdb.com/title/tt9248934/,movie,3.5,152,2019,"Action, Drama, Romance",3039,2019-11-15,Milap Zaveri,,
34,tt1131734,2021-05-11,2021-05-11,,Jennifer's Body,https://www.imdb.com/title/tt1131734/,movie,5.2,102,2009,"Comedy, Horror",118356,2009-09-10,Karyn Kusama,,
35,tt0887912,2021-05-11,2021-05-11,,The Hurt Locker,https://www.imdb.com/title/tt0887912/,movie,7.5,131,2008,"Drama, Thriller, War",427067,2008-09-04,Kathryn Bigelow,,
36,tt4972582,2021-05-11,2021-05-11,,Split,https://www.imdb.com/title/tt4972582/,movie,7.3,117,2016,"Horror, Thriller",437259,2016-09-26,M. Night Shyamalan,,
37,tt3042408,2021-05-11,2021-05-11,,Who Am I - Kein System ist sicher,https://www.imdb.com/title/tt3042408/,movie,7.5,102,2014,"Crime, Drama, Mystery, Sci-Fi, Thriller",51130,2014-09-06,Baran bo Odar,,
38,tt0337978,2021-05-11,2021-05-11,,Live Free or Die Hard,https://www.imdb.com/title/tt0337978/,movie,7.1,128,2007,"Action, Thriller",391959,2007-06-12,Len Wiseman,,
39,tt3774114,2021-05-11,2021-05-11,,Snowden,https://www.imdb.com/title/tt3774114/,movie,7.3,134,2016,"Biography, Crime, Drama, Thriller",141009,2016-07-21,Oliver Stone,,
40,tt1837492,2021-05-11,2021-05-11,,13 Reasons Why,https://www.imdb.com/title/tt1837492/,tvSeries,7.6,60,2017,"Drama, Mystery, Thriller",260614,2017-03-31,,,
41,tt9398466,2021-05-11,2021-05-11,,Delhi Crime,https://www.imdb.com/title/tt9398466/,tvSeries,8.5,50,2019,"Crime, Drama",14359,2019-01-29,,,
42,tt2372162,2021-05-11,2021-05-11,,Orange Is the New Black,https://www.imdb.com/title/tt2372162/,tvSeries,8.0,59,2013,"Comedy, Crime, Drama",281561,2013-07-11,,,
43,tt1467304,2021-05-11,2021-05-11,,The Human Centipede (First Sequence),https://www.imdb.com/title/tt1467304/,movie,4.4,92,2009,Horror,74237,2009-08-30,Tom Six,,
44,tt1530509,2021-05-11,2021-05-11,,The Human Centipede II (Full Sequence),https://www.imdb.com/title/tt1530509/,movie,3.8,91,2011,Horror,36340,2011-09-22,Tom Six,,
45,tt1883367,2021-05-11,2021-05-11,,The Human Centipede III (Final Sequence),https://www.imdb.com/title/tt1883367/,movie,2.7,102,2015,"Comedy, Horror",15145,2015-05-22,Tom Six,,
46,tt9110170,2021-05-11,2021-05-11,,Wrong Turn,https://www.imdb.com/title/tt9110170/,movie,5.4,109,2021,"Horror, Thriller",14850,2021-01-26,Mike P. Nelson,,
47,tt0295700,2021-05-11,2021-05-11,,Wrong Turn,https://www.imdb.com/title/tt0295700/,movie,6.1,84,2003,"Horror, Thriller",111546,2003-05-30,Rob Schmidt,,
48,tt2375779,2021-05-11,2021-05-11,,Wrong Turn 5: Bloodlines,https://www.imdb.com/title/tt2375779/,video,4.1,91,2012,"Adventure, Horror",18809,2012-10-18,Declan O'Brien,,
49,tt1865567,2021-05-11,2021-05-11,,Wrong Turn 4: Bloody Beginnings,https://www.imdb.com/title/tt1865567/,video,4.6,93,2011,"Adventure, Horror",23493,2011-10-25,Declan O'Brien,,
50,tt0804555,2021-05-11,2021-05-11,,Wrong Turn 2: Dead End,https://www.imdb.com/title/tt0804555/,video,5.5,93,2007,"Adventure, Horror",39288,2007-08-25,Joe Lynch,,
51,tt3612032,2021-05-11,2021-05-11,,Wrong Turn 6: Last Resort,https://www.imdb.com/title/tt3612032/,video,4.2,91,2014,"Adventure, Horror",13694,2014-08-22,Valeri Milev,,
52,tt0450278,2021-05-11,2021-05-11,,Hostel,https://www.imdb.com/title/tt0450278/,movie,5.9,94,2005,Horror,171462,2005-09-17,Eli Roth,,
53,tt0498353,2021-05-11,2021-05-11,,Hostel: Part II,https://www.imdb.com/title/tt0498353/,movie,5.5,94,2007,Horror,86234,2007-06-07,Eli Roth,,
54,tt1255916,2021-05-11,2021-05-11,,Hostel: Part III,https://www.imdb.com/title/tt1255916/,video,4.6,88,2011,Horror,29163,2011-12-22,Scott Spiegel,,
55,tt0387564,2021-05-11,2021-05-11,,Saw,https://www.imdb.com/title/tt0387564/,movie,7.6,103,2004,"Horror, Mystery, Thriller",384263,2004-01-19,James Wan,,
56,tt0432348,2021-05-11,2021-05-11,,Saw II,https://www.imdb.com/title/tt0432348/,movie,6.6,93,2005,"Horror, Mystery",235542,2005-10-28,Darren Lynn Bousman,,
57,tt0489270,2021-05-11,2021-05-11,,Saw III,https://www.imdb.com/title/tt0489270/,movie,6.2,108,2006,"Crime, Horror, Mystery, Thriller",180487,2006-10-26,Darren Lynn Bousman,,
58,tt0890870,2021-05-11,2021-05-11,,Saw IV,https://www.imdb.com/title/tt0890870/,movie,5.9,93,2007,"Crime, Horror, Mystery, Thriller",141796,2007-10-25,Darren Lynn Bousman,,
59,tt1132626,2021-05-11,2021-05-11,,Saw V,https://www.imdb.com/title/tt1132626/,movie,5.8,92,2008,"Crime, Horror, Mystery, Thriller",116658,2008-10-23,David Hackl,,
60,tt1233227,2021-05-11,2021-05-11,,Saw VI,https://www.imdb.com/title/tt1233227/,movie,6.0,90,2009,"Horror, Mystery, Thriller",103339,2009-10-22,Kevin Greutert,,
61,tt9432978,2021-05-11,2021-05-11,,Kota Factory,https://www.imdb.com/title/tt9432978/,tvSeries,9.1,45,2019,"Comedy, Drama",42095,2019-04-16,,,
62,tt1637725,2021-05-11,2021-05-11,,Ted,https://www.imdb.com/title/tt1637725/,movie,6.9,106,2012,Comedy,575871,2012-06-29,Seth MacFarlane,,
63,tt2637276,2021-05-11,2021-05-11,,Ted 2,https://www.imdb.com/title/tt2637276/,movie,6.3,115,2015,Comedy,188766,2015-06-25,Seth MacFarlane,,
64,tt0416449,2021-05-11,2021-05-11,,300,https://www.imdb.com/title/tt0416449/,movie,7.6,117,2006,"Action, Drama",742402,2006-12-09,Zack Snyder,,
65,tt8254348,2021-05-11,2021-05-11,,ImMATURE,https://www.imdb.com/title/tt8254348/,tvSeries,8.8,25,2019,"Comedy, Drama, Romance",5490,2019-02-18,,,
66,tt12392504,2021-05-11,2021-05-11,,Scam 1992: The Harshad Mehta Story,https://www.imdb.com/title/tt12392504/,tvSeries,9.4,54,2020,"Biography, Crime, Drama",95687,2020-10-09,,,
67,tt7838252,2021-05-11,2021-05-11,,K.G.F: Chapter 1,https://www.imdb.com/title/tt7838252/,movie,8.2,156,2018,"Action, Drama",39112,2018-12-20,Prashanth Neel,,
68,tt9426210,2021-05-11,2021-05-11,,Tenki no ko,https://www.imdb.com/title/tt9426210/,movie,7.5,112,2019,"Animation, Drama, Fantasy, Romance",26090,2019-01-15,Makoto Shinkai,,
69,tt5311514,2021-05-11,2021-05-11,,Kimi no na wa.,https://www.imdb.com/title/tt5311514/,movie,8.4,106,2016,"Animation, Drama, Fantasy, Romance",207392,2016-07-03,Makoto Shinkai,,
70,tt7865090,2021-05-11,2021-05-11,,DARLING in the FRANXX,https://www.imdb.com/title/tt7865090/,tvSeries,7.4,24,2018,"Animation, Action, Drama, Fantasy, Romance, Sci-Fi",5689,2018-01-13,,,
71,tt2230051,2021-05-11,2021-05-11,,High School DxD,https://www.imdb.com/title/tt2230051/,tvSeries,7.6,23,2012,"Animation, Action, Comedy, Fantasy, Romance",7493,2012-01-06,,,
72,tt1685401,2021-05-11,2021-05-11,,Gakuen mokushiroku: HIGHSCHOOL OF THE DEAD,https://www.imdb.com/title/tt1685401/,tvSeries,7.2,24,2010,"Animation, Action, Drama, Horror, Romance, Thriller",11269,2010-07-05,,,
73,tt0877057,2021-05-11,2021-05-11,,Death Note: Desu nôto,https://www.imdb.com/title/tt0877057/,tvSeries,9.0,24,2006,"Animation, Crime, Drama, Fantasy, Mystery, Thriller",250585,2006-10-03,,,
74,tt5255710,2021-05-11,2021-05-11,,Sanam Teri Kasam,https://www.imdb.com/title/tt5255710/,movie,7.4,154,2016,"Drama, Musical, Romance",10352,2016-02-05,"Vinay Sapru, Radhika Rao",,
75,tt1161684,2021-05-11,2021-05-11,,Rozario to banpaia,https://www.imdb.com/title/tt1161684/,tvSeries,7.0,25,2008,"Animation, Comedy, Fantasy, Romance",2612,2008-01-03,,,
76,tt0111161,2021-05-11,2021-05-11,,The Shawshank Redemption,https://www.imdb.com/title/tt0111161/,movie,9.3,142,1994,Drama,2387310,1994-09-10,Frank Darabont,,
77,tt0100095,2021-05-11,2021-05-11,,Maine Pyar Kiya,https://www.imdb.com/title/tt0100095/,movie,7.3,192,1989,"Drama, Musical, Romance",10781,1989-12-29,Sooraj R. Barjatya,,
78,tt2345759,2021-05-11,2021-05-11,,The Mummy,https://www.imdb.com/title/tt2345759/,movie,5.4,111,2017,"Action, Adventure, Fantasy, Thriller",175636,2017-05-22,Alex Kurtzman,,
79,tt1270797,2021-05-11,2021-05-11,,Venom,https://www.imdb.com/title/tt1270797/,movie,6.7,112,2018,"Action, Adventure, Sci-Fi",372987,2018-10-01,Ruben Fleischer,,
